DIA,DIA_SEMANA,MES,OBJECTID,PERIODO,RADICADO,X,Y,NUM_COMUNA,NUM_GRAVEDAD,NUM_DISENO,NUM_CLASE,NUM_BARRIO
2.0,2.0,7.0,663690.0,2018.0,1633125.0,-75.56995185516979,6.2312154421467225,2.0,0.0,2.0,3.0,19.0
6.0,1.0,6.0,665195.0,2018.0,1630077.0,-75.57856358245873,6.214636963647063,0.0,1.0,0.0,0.0,0.0
28.0,3.0,9.0,671699.0,2018.0,1644135.0,-75.5637746156829,6.24541298276651,2.0,0.0,0.0,0.0,3.0
31.0,0.0,5.0,566771.0,2018.0,1629350.0,-75.5715799183049,6.269725390111702,12.0,0.0,2.0,3.0,34.0
28.0,3.0,9.0,672070.0,2018.0,1643899.0,-75.59199783708816,6.222779739192062,11.0,0.0,2.0,1.0,35.0
22.0,2.0,1.0,551625.0,2018.0,1614069.0,-75.56728887270793,6.247377924873026,2.0,1.0,0.0,0.0,3.0
8.0,1.0,8.0,665855.0,2018.0,1637514.0,-75.58961326618413,6.2636120483285,7.0,1.0,2.0,0.0,10.0
16.0,0.0,8.0,667346.0,2018.0,1638663.0,-75.56089994558506,6.2757923872660495,10.0,0.0,1.0,0.0,36.0
15.0,5.0,9.0,676680.0,2018.0,1642275.0,-75.57443139889763,6.231883651761104,2.0,0.0,0.0,4.0,37.0
16.0,5.0,6.0,661807.0,2018.0,1631653.0,-75.57335582621178,6.272575373127032,12.0,1.0,2.0,0.0,34.0
2.0,2.0,4.0,558956.0,2018.0,1622261.0,-75.57550955927526,6.220185532724316,3.0,0.0,0.0,0.0,38.0
24.0,6.0,7.0,670258.0,2018.0,1635702.0,-75.55291425097438,6.232363922483494,6.0,1.0,1.0,0.0,27.0
28.0,5.0,7.0,668915.0,2018.0,1636147.0,-75.5826593949787,6.233301075063138,11.0,0.0,1.0,0.0,39.0
10.0,5.0,11.0,678534.0,2018.0,1649285.0,-75.57617993727206,6.26963816158376,12.0,1.0,0.0,0.0,18.0
7.0,3.0,9.0,675697.0,2018.0,1641462.0,-75.58536010261402,6.213828435178468,0.0,1.0,1.0,0.0,0.0
18.0,0.0,10.0,681453.0,2018.0,1646272.0,-75.57173659558461,6.257049201094532,2.0,0.0,2.0,4.0,40.0
22.0,2.0,10.0,680760.0,2018.0,1646898.0,-75.64270480768084,6.174980980073053,9.0,0.0,0.0,1.0,15.0
27.0,3.0,7.0,668559.0,2018.0,1636008.0,-75.5704267509131,6.203015405371434,3.0,0.0,0.0,2.0,41.0
8.0,4.0,7.0,663716.0,2018.0,1633708.0,-75.55416472862704,6.268729696544285,5.0,0.0,0.0,2.0,42.0
17.0,5.0,2.0,554218.0,2018.0,1616987.0,-75.60521739936112,6.250928661517199,4.0,0.0,0.0,0.0,43.0
29.0,6.0,5.0,566631.0,2018.0,1629084.0,-75.64522492901399,6.173049376833396,9.0,0.0,0.0,0.0,15.0
28.0,5.0,7.0,669073.0,2018.0,1636164.0,-75.57516170745271,6.250194841116235,2.0,0.0,0.0,0.0,26.0
28.0,0.0,6.0,662409.0,2018.0,1632762.0,-75.59589929682322,6.290022548830656,1.0,0.0,2.0,4.0,44.0
5.0,4.0,8.0,667591.0,2018.0,1637062.0,-75.58151329408166,6.217750145989529,0.0,0.0,1.0,3.0,14.0
22.0,5.0,12.0,683612.0,2018.0,1654435.0,-75.57678116249393,6.220071957274562,3.0,0.0,0.0,4.0,38.0
14.0,0.0,6.0,665468.0,2018.0,1631457.0,-75.5807084913571,6.239538519822895,7.0,1.0,0.0,0.0,45.0
4.0,6.0,9.0,674242.0,2018.0,1640895.0,-75.58799096050991,6.254187973099955,7.0,1.0,0.0,0.0,46.0
10.0,6.0,4.0,564176.0,2018.0,1623473.0,-75.56484011957994,6.247042076834799,2.0,1.0,1.0,0.0,3.0
1.0,4.0,7.0,663499.0,2018.0,1633001.0,-75.5691843460411,6.222982743919905,3.0,0.0,0.0,0.0,47.0
18.0,4.0,3.0,553795.0,2018.0,1620532.0,-75.55981895892478,6.300844789177822,12.0,0.0,2.0,1.0,48.0
19.0,2.0,3.0,552967.0,2018.0,1620597.0,-75.55376040597069,6.256886309365579,8.0,1.0,0.0,0.0,49.0
3.0,5.0,2.0,554302.0,2018.0,1618580.0,-75.57173065726344,6.258927630263949,2.0,1.0,0.0,0.0,50.0
20.0,6.0,2.0,556062.0,2018.0,1617391.0,-75.60054134324683,6.250339830664822,7.0,1.0,0.0,0.0,51.0
7.0,1.0,11.0,677092.0,2018.0,1648766.0,-75.58687705827894,6.266044779413992,1.0,1.0,2.0,0.0,52.0
3.0,0.0,5.0,560146.0,2018.0,1626024.0,-75.56852227535387,6.252725898920955,2.0,0.0,0.0,1.0,3.0
12.0,2.0,2.0,555072.0,2018.0,1616580.0,-75.56772413345107,6.244977677626662,2.0,1.0,0.0,0.0,53.0
7.0,1.0,2.0,555858.0,2018.0,1615712.0,-75.56794344302374,6.299677770240043,12.0,1.0,0.0,0.0,54.0
27.0,5.0,10.0,679793.0,2018.0,1647323.0,-75.59486444779515,6.274692591264698,1.0,0.0,0.0,4.0,2.0
12.0,3.0,10.0,681352.0,2018.0,1645815.0,-75.55770226462514,6.248644632244741,2.0,1.0,1.0,0.0,7.0
9.0,0.0,8.0,666233.0,2018.0,1637715.0,-75.5988187290857,6.277853804608742,1.0,0.0,0.0,0.0,2.0
8.0,2.0,10.0,673875.0,2018.0,1645234.0,-75.59893660864378,6.269112836654262,4.0,1.0,1.0,0.0,55.0
19.0,3.0,10.0,682140.0,2018.0,1646397.0,-75.56727664990204,6.301067384498679,12.0,0.0,2.0,0.0,56.0
13.0,0.0,9.0,675414.0,2018.0,1642159.0,-75.5725196776958,6.211411355189066,3.0,1.0,0.0,2.0,4.0
22.0,2.0,1.0,551468.0,2018.0,1613937.0,-75.5909681974798,6.260214754854449,7.0,0.0,1.0,1.0,57.0
26.0,2.0,2.0,556183.0,2018.0,1617983.0,-75.57475907487148,6.227621967639768,3.0,0.0,0.0,3.0,58.0
19.0,3.0,1.0,551215.0,2018.0,1613913.0,-75.58813346606259,6.201522069334433,0.0,1.0,1.0,0.0,59.0
14.0,5.0,4.0,563827.0,2018.0,1623609.0,-75.54391916613501,6.265305581697331,5.0,0.0,2.0,4.0,60.0
26.0,0.0,7.0,668516.0,2018.0,1636252.0,-75.58672303116404,6.242419322557467,7.0,1.0,0.0,0.0,45.0
4.0,1.0,4.0,558332.0,2018.0,1622418.0,-75.56028104832748,6.246306433600058,2.0,1.0,0.0,0.0,7.0
13.0,0.0,12.0,684518.0,2018.0,1653321.0,-75.57835740864209,6.213718728297707,0.0,1.0,0.0,0.0,0.0
16.0,6.0,1.0,550765.0,2018.0,1613141.0,-75.59663343662265,6.263845640107039,7.0,0.0,3.0,0.0,10.0
6.0,6.0,2.0,555540.0,2018.0,1615489.0,-75.55287557168867,6.240895775834479,6.0,0.0,2.0,3.0,61.0
8.0,5.0,12.0,685176.0,2018.0,1652564.0,-75.56396903530052,6.296093593105131,12.0,1.0,0.0,0.0,62.0
29.0,0.0,3.0,553303.0,2018.0,1621777.0,-75.57746809547638,6.257898176625973,7.0,0.0,0.0,4.0,30.0
15.0,0.0,2.0,553003.0,2018.0,1616800.0,-75.63498369883865,6.2752623150046025,13.0,0.0,0.0,0.0,63.0
15.0,0.0,2.0,553007.0,2018.0,1616824.0,-75.56234932772591,6.253409816982473,2.0,0.0,1.0,0.0,33.0
13.0,1.0,6.0,665169.0,2018.0,1630869.0,-75.56771839059763,6.184694369687643,3.0,1.0,0.0,0.0,64.0
13.0,2.0,8.0,665743.0,2018.0,1638085.0,-75.55869142747498,6.249283715689574,2.0,0.0,0.0,3.0,7.0
17.0,0.0,5.0,559570.0,2018.0,1627647.0,-75.56984320872536,6.244361101847242,2.0,0.0,1.0,0.0,53.0
17.0,4.0,6.0,662334.0,2018.0,1631322.0,-75.56686208697006,6.246221379171063,2.0,0.0,0.0,0.0,53.0
13.0,0.0,12.0,684356.0,2018.0,1653569.0,-75.5726456384063,6.250416827673815,2.0,1.0,0.0,0.0,13.0
8.0,0.0,2.0,555172.0,2018.0,1615797.0,-75.56389891015206,6.254659486483562,2.0,0.0,2.0,3.0,33.0
16.0,2.0,4.0,565410.0,2018.0,1623967.0,-75.55811133404666,6.311980370343995,12.0,0.0,0.0,0.0,24.0
14.0,4.0,1.0,566832.0,2018.0,1612803.0,-75.5992090693458,6.231290290172006,11.0,0.0,1.0,0.0,17.0
21.0,5.0,4.0,563435.0,2018.0,1624576.0,-75.58031131015478,6.1948117046760425,3.0,1.0,0.0,0.0,65.0
12.0,0.0,7.0,669944.0,2018.0,1634508.0,-75.55500877746273,6.238346407219321,6.0,1.0,0.0,0.0,66.0
6.0,1.0,6.0,665196.0,2018.0,1630085.0,-75.56005034955686,6.242234512933076,2.0,0.0,0.0,0.0,67.0
15.0,0.0,3.0,559099.0,2018.0,1620463.0,-75.58467870281186,6.204574906131379,0.0,1.0,0.0,0.0,68.0
7.0,2.0,5.0,559198.0,2018.0,1626411.0,-75.59675957782764,6.222300780098013,11.0,0.0,0.0,0.0,35.0
16.0,3.0,11.0,678394.0,2018.0,1650115.0,-75.57357077395831,6.245880937678415,2.0,1.0,1.0,0.0,12.0
4.0,3.0,5.0,565240.0,2018.0,1625954.0,-75.5675920450755,6.243578575007873,2.0,0.0,1.0,0.0,53.0
4.0,3.0,5.0,565350.0,2018.0,1626106.0,-75.57300943899091,6.2495293191482775,2.0,0.0,0.0,1.0,12.0
14.0,1.0,3.0,558749.0,2018.0,1620802.0,-75.57317874948208,6.238461248514769,2.0,1.0,0.0,0.0,69.0
2.0,6.0,1.0,549598.0,2018.0,1611916.0,-75.57169037155467,6.2034527685837935,3.0,0.0,1.0,0.0,41.0
4.0,1.0,7.0,662104.0,2018.0,1633415.0,-75.55250783198832,6.242910255519158,8.0,0.0,1.0,0.0,70.0
2.0,6.0,1.0,549583.0,2018.0,1611852.0,-75.58687705827894,6.266044779413992,1.0,1.0,1.0,0.0,52.0
15.0,1.0,8.0,666799.0,2018.0,1638486.0,-75.5823254861457,6.213843099359251,0.0,1.0,0.0,0.0,0.0
5.0,0.0,4.0,553667.0,2018.0,1622762.0,-75.5687074056671,6.22987664925448,2.0,1.0,0.0,0.0,19.0
13.0,1.0,6.0,665147.0,2018.0,1631084.0,-75.57003159801148,6.237635441545043,2.0,1.0,3.0,0.0,19.0
25.0,4.0,2.0,561594.0,2018.0,1617877.0,-75.60145622491429,6.210762483755572,11.0,0.0,3.0,0.0,71.0
18.0,1.0,7.0,670213.0,2018.0,1635243.0,-75.58031131015478,6.1948117046760425,3.0,1.0,1.0,0.0,65.0
11.0,1.0,4.0,563791.0,2018.0,1623307.0,-75.5757010483317,6.2364419232192585,2.0,1.0,0.0,0.0,37.0
10.0,6.0,4.0,565198.0,2018.0,1623266.0,-75.55128954589068,6.295931051890055,14.0,0.0,2.0,4.0,72.0
3.0,1.0,10.0,671550.0,2018.0,1644509.0,-75.56662357761145,6.299679313113158,12.0,0.0,2.0,4.0,54.0
15.0,2.0,10.0,679633.0,2018.0,1645955.0,-75.55169652211619,6.28029267442813,5.0,0.0,1.0,0.0,6.0
16.0,0.0,8.0,667501.0,2018.0,1638671.0,-75.59033828078942,6.281987946745652,1.0,0.0,1.0,1.0,73.0
16.0,6.0,1.0,550772.0,2018.0,1613143.0,-75.55402234815733,6.2727932950041785,5.0,0.0,1.0,0.0,74.0
20.0,5.0,10.0,680044.0,2018.0,1646521.0,-75.59334398551519,6.271413967763777,1.0,0.0,2.0,4.0,52.0
10.0,6.0,4.0,565289.0,2018.0,1623204.0,-75.58000139842002,6.192517242071217,3.0,1.0,0.0,0.0,75.0
31.0,5.0,3.0,558513.0,2018.0,1622014.0,-75.59019170268509,6.2494446985641625,7.0,1.0,0.0,0.0,76.0
26.0,1.0,9.0,673436.0,2018.0,1643738.0,-75.55232560719367,6.292183169443665,14.0,0.0,0.0,3.0,77.0
21.0,1.0,2.0,555987.0,2018.0,1617469.0,-75.55822876522798,6.228831180996315,6.0,1.0,0.0,0.0,20.0
5.0,1.0,12.0,686379.0,2018.0,1652253.0,-75.57061625555437,6.276081123875643,12.0,1.0,2.0,0.0,78.0
22.0,4.0,4.0,564355.0,2018.0,1624627.0,-75.56632027167707,6.302052618506804,12.0,1.0,1.0,0.0,79.0
28.0,2.0,5.0,566391.0,2018.0,1628996.0,-75.55306792405862,6.2563776774046,8.0,1.0,0.0,0.0,49.0
16.0,5.0,6.0,661802.0,2018.0,1631275.0,-75.56761200309063,6.294318128741982,12.0,0.0,1.0,0.0,80.0
20.0,6.0,2.0,558181.0,2018.0,1617381.0,-75.58368683744278,6.298833064268153,15.0,0.0,0.0,0.0,81.0
27.0,3.0,4.0,565370.0,2018.0,1625367.0,-75.58990829601518,6.236142653229343,11.0,0.0,1.0,0.0,29.0
11.0,1.0,7.0,669370.0,2018.0,1634171.0,-75.55427625669,6.293526174252003,14.0,1.0,0.0,0.0,72.0
30.0,6.0,10.0,681226.0,2018.0,1648317.0,-75.58637019258968,6.210025701640757,0.0,1.0,0.0,0.0,0.0
20.0,6.0,2.0,555977.0,2018.0,1617273.0,-75.59627129342326,6.231389195026603,11.0,1.0,0.0,0.0,17.0
5.0,6.0,6.0,664918.0,2018.0,1630001.0,-75.58942028971799,6.277199704669747,1.0,0.0,2.0,3.0,1.0
15.0,1.0,8.0,666788.0,2018.0,1638358.0,-75.55696125907838,6.267203533615075,10.0,0.0,0.0,0.0,82.0
15.0,6.0,5.0,561873.0,2018.0,1627340.0,-75.55624516504645,6.212461480753902,3.0,1.0,0.0,0.0,83.0
15.0,2.0,1.0,550655.0,2018.0,1612917.0,-75.57181765102756,6.25826957323471,2.0,1.0,0.0,0.0,50.0
27.0,6.0,11.0,685224.0,2018.0,1651123.0,-75.59529962227664,6.26947295993496,7.0,0.0,0.0,3.0,10.0
25.0,2.0,6.0,663637.0,2018.0,1632344.0,-75.57498644929805,6.264761303618183,12.0,1.0,1.0,0.0,34.0
2.0,3.0,3.0,561992.0,2018.0,1618795.0,-75.58386706462298,6.245678794071759,7.0,1.0,0.0,0.0,84.0
3.0,2.0,12.0,685654.0,2018.0,1651736.0,-75.55791149829035,6.282796099622573,10.0,0.0,0.0,0.0,85.0
24.0,2.0,12.0,682481.0,2018.0,1654743.0,-75.57836007790661,6.247540125204371,2.0,1.0,0.0,0.0,26.0
14.0,3.0,12.0,685052.0,2018.0,1653406.0,-75.56006977635218,6.300945773589169,12.0,0.0,0.0,0.0,48.0
10.0,6.0,4.0,565388.0,2018.0,1623300.0,-75.57767627580459,6.244064261877066,2.0,0.0,1.0,1.0,86.0
17.0,5.0,2.0,554228.0,2018.0,1616972.0,-75.57133886174209,6.2908819940718725,12.0,0.0,2.0,2.0,87.0
23.0,6.0,1.0,551937.0,2018.0,1613984.0,-75.5590994056468,6.266914627937284,10.0,0.0,2.0,4.0,82.0
15.0,0.0,3.0,553326.0,2018.0,1620161.0,-75.56072305090893,6.2406829026095645,6.0,0.0,0.0,3.0,21.0
31.0,0.0,5.0,566770.0,2018.0,1629326.0,-75.58389580812987,6.28851363018217,15.0,0.0,2.0,1.0,88.0
18.0,0.0,10.0,681614.0,2018.0,1646439.0,-75.55943208720481,6.299177812848244,12.0,0.0,0.0,0.0,48.0
8.0,2.0,10.0,673709.0,2018.0,1645105.0,-75.63653810618084,6.175708255527427,9.0,0.0,0.0,0.0,15.0
5.0,2.0,2.0,554962.0,2018.0,1615512.0,-75.57578385773414,6.217281185374357,3.0,1.0,4.0,0.0,38.0
10.0,3.0,8.0,666949.0,2018.0,1637740.0,-75.57269909856893,6.291340417982275,12.0,0.0,2.0,0.0,87.0
30.0,3.0,3.0,558791.0,2018.0,1621870.0,-75.54516739103053,6.270108470516473,5.0,1.0,0.0,0.0,89.0
12.0,0.0,7.0,669731.0,2018.0,1634730.0,-75.57147505604851,6.272170206040387,12.0,1.0,0.0,0.0,34.0
15.0,5.0,9.0,676295.0,2018.0,1642230.0,-75.56408229521517,6.263954718404928,10.0,0.0,0.0,1.0,90.0
29.0,5.0,9.0,672595.0,2018.0,1644403.0,-75.59302128030963,6.273389147204995,1.0,1.0,0.0,0.0,91.0
9.0,3.0,11.0,678025.0,2018.0,1649044.0,-75.56468373684778,6.243687338770021,2.0,0.0,0.0,1.0,53.0
7.0,3.0,9.0,676018.0,2018.0,1641455.0,-75.57594253990578,6.189257710465652,3.0,1.0,1.0,0.0,92.0
4.0,1.0,7.0,662123.0,2018.0,1633407.0,-75.55345890902593,6.232630086030762,6.0,0.0,0.0,1.0,27.0
19.0,0.0,7.0,670918.0,2018.0,1635098.0,-75.5830522136891,6.2834879715763305,1.0,0.0,1.0,0.0,93.0
6.0,3.0,7.0,662650.0,2018.0,1633602.0,-75.5575492306137,6.254568760468668,8.0,1.0,1.0,0.0,94.0
12.0,0.0,7.0,669930.0,2018.0,1634293.0,-75.57756814856742,6.285773382133549,12.0,0.0,2.0,1.0,95.0
22.0,2.0,10.0,680768.0,2018.0,1646609.0,-75.60602214020787,6.245762422140534,4.0,0.0,2.0,3.0,96.0
1.0,0.0,2.0,552468.0,2018.0,1614938.0,-75.56278119780319,6.247280831478064,2.0,0.0,0.0,0.0,7.0
14.0,6.0,8.0,666254.0,2018.0,1638308.0,-75.58015317344545,6.258711748184037,7.0,1.0,1.0,0.0,30.0
17.0,2.0,9.0,674581.0,2018.0,1642805.0,-75.57556500388588,6.201094587904137,3.0,1.0,0.0,0.0,97.0
17.0,2.0,12.0,686164.0,2018.0,1653747.0,-75.5497027935374,6.242749985111784,8.0,1.0,1.0,0.0,98.0
5.0,2.0,3.0,556382.0,2018.0,1619054.0,-75.57604036890072,6.214955880434152,3.0,0.0,0.0,0.0,38.0
22.0,0.0,11.0,678611.0,2018.0,1650678.0,-75.55323465545267,6.237989362820332,6.0,0.0,1.0,0.0,99.0
3.0,2.0,12.0,685474.0,2018.0,1652269.0,-75.56943000724726,6.236899733526628,2.0,1.0,1.0,0.0,19.0
13.0,6.0,2.0,553958.0,2018.0,1616477.0,-75.57673715991166,6.2076124713522685,3.0,1.0,1.0,0.0,100.0
27.0,2.0,8.0,675704.0,2018.0,1640119.0,-75.60414363476724,6.23113119545634,11.0,1.0,0.0,0.0,17.0
21.0,5.0,4.0,563421.0,2018.0,1624546.0,-75.60331218158716,6.204304020057608,11.0,1.0,2.0,0.0,101.0
19.0,2.0,2.0,562220.0,2018.0,1617311.0,-75.59024922673498,6.239540859654479,7.0,1.0,0.0,0.0,102.0
19.0,0.0,4.0,563076.0,2018.0,1624200.0,-75.57443139889763,6.231883651761104,2.0,1.0,0.0,0.0,37.0
22.0,6.0,5.0,559867.0,2018.0,1628227.0,-75.57350366137118,6.235570281449998,2.0,1.0,0.0,0.0,37.0
15.0,0.0,3.0,558463.0,2018.0,1620100.0,-75.57140847770151,6.229025824046327,2.0,0.0,0.0,0.0,37.0
23.0,3.0,3.0,553652.0,2018.0,1621227.0,-75.56346453790398,6.253182272508409,2.0,0.0,0.0,1.0,33.0
25.0,0.0,10.0,682187.0,2018.0,1647049.0,-75.55814107066166,6.2550767524391935,8.0,0.0,1.0,3.0,94.0
10.0,1.0,10.0,680459.0,2018.0,1645506.0,-75.57742032428466,6.194014050101242,3.0,1.0,0.0,0.0,97.0
28.0,5.0,7.0,669071.0,2018.0,1636172.0,-75.57556407118695,6.27110119384733,12.0,0.0,2.0,4.0,34.0
7.0,0.0,6.0,665298.0,2018.0,1630380.0,-75.56378876426984,6.262305826345665,2.0,1.0,0.0,0.0,103.0
12.0,0.0,4.0,563886.0,2018.0,1623422.0,-75.58272050450174,6.231784533967401,0.0,0.0,1.0,0.0,104.0
15.0,3.0,6.0,664166.0,2018.0,1631229.0,-75.59529962227664,6.26947295993496,7.0,1.0,0.0,0.0,10.0
13.0,6.0,11.0,679252.0,2018.0,1649428.0,-75.58376787283005,6.225605606718483,0.0,1.0,0.0,0.0,105.0
6.0,0.0,12.0,684261.0,2018.0,1652342.0,-75.57326420188376,6.294428543851423,12.0,0.0,0.0,3.0,87.0
8.0,0.0,2.0,554560.0,2018.0,1615755.0,-75.57297645856876,6.207890627306093,3.0,0.0,0.0,0.0,106.0
2.0,3.0,2.0,555041.0,2018.0,1615066.0,-75.5745277806841,6.246080173045852,2.0,1.0,5.0,0.0,12.0
17.0,6.0,7.0,669839.0,2018.0,1635013.0,-75.60068811550293,6.231171580912862,11.0,1.0,3.0,0.0,17.0
22.0,4.0,4.0,564979.0,2018.0,1624641.0,-75.59254897526952,6.256851619090861,7.0,0.0,0.0,4.0,57.0
