X,Y,OBJECTID,RADICADO,DIA,PERIODO,CBML,DIA_SEMANA,MES,NUM_COMUNA,NUM_GRAVEDAD,NUM_DISENO,NUM_CLASE,group
-75.56352191122565,6.251354018182751,685469.0,1652221.0,3.0,2018.0,1018.0,1.0,12.0,10.0,1.0,2.0,1.0,0
-75.56995185516979,6.2312154421467225,663690.0,1633125.0,2.0,2018.0,1020.0,1.0,7.0,10.0,3.0,1.0,6.0,0
-75.57856358245873,6.214636963647063,665195.0,1630077.0,6.0,2018.0,1507.0,3.0,6.0,15.0,1.0,2.0,1.0,0
-75.5637746156829,6.24541298276651,671699.0,1644135.0,28.0,2018.0,1019.0,5.0,9.0,10.0,1.0,1.0,1.0,0
-75.5715799183049,6.269725390111702,566771.0,1629350.0,31.0,2018.0,517.0,4.0,5.0,5.0,3.0,1.0,6.0,1
-75.59199783708816,6.222779739192062,672070.0,1643899.0,28.0,2018.0,1605.0,5.0,9.0,16.0,3.0,1.0,2.0,0
-75.56728887270793,6.247377924873026,551625.0,1614069.0,22.0,2018.0,1019.0,1.0,1.0,10.0,1.0,2.0,1.0,1
-75.58961326618413,6.2636120483285,665855.0,1637514.0,8.0,2018.0,1114.0,3.0,8.0,11.0,3.0,2.0,1.0,0
-75.56089994558506,6.2757923872660495,667346.0,1638663.0,16.0,2018.0,414.0,4.0,8.0,4.0,2.0,1.0,1.0,0
-75.57443139889763,6.231883651761104,676680.0,1642275.0,15.0,2018.0,1012.0,6.0,9.0,10.0,1.0,1.0,4.0,0
-75.57335582621178,6.272575373127032,661807.0,1631653.0,16.0,2018.0,517.0,6.0,6.0,5.0,3.0,2.0,1.0,0
-75.57550955927526,6.220185532724316,558956.0,1622261.0,2.0,2018.0,1403.0,1.0,4.0,14.0,1.0,1.0,1.0,1
-75.55291425097438,6.232363922483494,670258.0,1635702.0,24.0,2018.0,910.0,2.0,7.0,9.0,2.0,2.0,1.0,0
-75.5826593949787,6.233301075063138,668915.0,1636147.0,28.0,2018.0,1621.0,6.0,7.0,16.0,2.0,1.0,1.0,0
-75.57617993727206,6.26963816158376,678534.0,1649285.0,10.0,2018.0,519.0,6.0,11.0,5.0,1.0,2.0,1.0,0
