X,Y,OBJECTID,DIRECCION,LOCALIZACION,LINK_FOTO
-75.5773065137486,6.21737836391727,27,Cr 43 Cl 14,High Light,https://www.medellin.gov.co/simm/camaras-cctv/imagen20.jpg
-75.5780360747824,6.216562434680071,28,Cr 50 Cl 25,Autopista Sur Sentido N-S - Leonisa 14 y 10,https://www.medellin.gov.co/simm/camaras-cctv/imagen37.jpg
-75.5791894254644,6.21364001271526,29,Cl 10 Cr 50,Puente de La 10 sobre Av. Regional,https://www.medellin.gov.co/simm/camaras-cctv/imagen47.jpg
-75.5626348310601,6.21526121156916,30,Cl 16 Cr 30,Restaurante Asia,https://www.medellin.gov.co/simm/camaras-cctv/imagen3.jpg
-75.57896412053991,6.20997896246189,31,Cr 50 Cl 4,Coltabaco,https://www.medellin.gov.co/simm/camaras-cctv/imagen13.jpg
-75.5783150248607,6.20897103374859,34,Cr 49 Cl 7 ,Inem,https://www.medellin.gov.co/simm/camaras-cctv/imagen21.jpg
-75.5605400258024,6.20453666747349,35,Tv 7A Dg 29D,Trv Inferior con Tesoro,https://www.medellin.gov.co/simm/camaras-cctv/imagen30.jpg
-75.5880541259697,6.202094149318089,36,Cr 52 Cl 8S,Boca del Caribe,https://www.medellin.gov.co/simm/camaras-cctv/imagen25.jpg
-75.58449215203191,6.2007875577835,37,Cr 50FF Cl 8,Sur Vivero,https://www.medellin.gov.co/simm/camaras-cctv/imagen23.jpg
-75.5803669152914,6.19725707816597,38,Cr 49 Cl 7 Sur,Aguacatala,https://www.medellin.gov.co/simm/camaras-cctv/imagen14.jpg
-75.5754600002415,6.258761000754499,40,Cr 65 Cl 55,Carlos E. Restrepo,https://www.medellin.gov.co/simm/camaras-cctv/imagen50.jpg
-75.5765300002623,6.22679000026005,41,Cr 50 Cl 25,Postobón,https://www.medellin.gov.co/simm/camaras-cctv/imagen51.jpg
-75.58019700027481,6.20101600072857,42,Cr 50 Cl 7 Sur,Colcafé,https://www.medellin.gov.co/simm/camaras-cctv/imagen52.jpg
-75.58042500041009,6.19496900101756,43,Cl 12 Sur Cr 48B,Deprimido Glorieta Aguacatala,https://www.medellin.gov.co/simm/camaras-cctv/imagen53.jpg
-75.5776069998662,6.247046999754589,44,Cr 59 Cl 44,Barrio Triste,https://www.medellin.gov.co/simm/camaras-cctv/imagen55.jpg
-75.5775570004255,6.25272100043792,45,Cr 62 Cl 49,Bomberos Liberta,https://www.medellin.gov.co/simm/camaras-cctv/imagen56.jpg
-75.5867099998645,6.205367999895881,46,Cr 52 Cl 3 Sur,Cristo Rey,https://www.medellin.gov.co/simm/camaras-cctv/imagen57.jpg
