;Longitude;Latitude;
75°33'58.498W,6°15'34.765N;-75.5662494;6.2596569;
75°34'2.052W,6°15'35.264N;-75.5672367;6.2597956;
75°34'1.484W,6°15'39.219N;-75.5670789;6.2608942;
75°34'4.639W,6°15'47.090N;-75.5679553;6.2630806;
75°34'8.116W,6°15'40.563N;-75.5689211;6.2612675;
75°34'10.085W,6°15'36.647N;-75.5694681;6.2601797;
75°33'59.425W,6°15'28.200N;-75.5665069;6.2578333;
75°34'3.172W,6°15'28.891N;-75.5675478;6.2580253;
75°34'6.725W,6°15'29.659N;-75.5685347;6.2582386;
75°34'13.484W,6°15'30.043N;-75.5704122;6.2583453;
75°34'3.481W,6°15'26.511N;-75.5676336;6.2573642;
75°34'7.613W,6°15'26.319N;-75.5687814;6.2573108;
75°34'3.751W,6°15'25.244N;-75.5677086;6.2570122;
75°34'0.429W,6°15'28.286N;-75.5667858;6.2578572;
75°34'4.408W,6°15'22.556N;-75.5678911;6.2562656;
75°34'8.154W,6°15'23.286N;-75.5689317;6.2564683;
75°33'58.769W,6°15'27.711N;-75.5663247;6.2576975;
75°34'1.723W,6°15'19.139N;-75.5671453;6.2553164;
75°34'0.101W,6°15'18.909N;-75.5666947;6.2552525;
75°34'5.702W,6°15'15.415N;-75.5682506;6.2542819;
75°34'9.371W,6°15'16.144N;-75.5692697;6.2544844;
75°34'12.229W,6°15'16.643N;-75.5700636;6.2546231;
75°34'2.341W,6°15'13.265N;-75.5673169;6.2536847;
75°33'58.537W,6°15'11.076N;-75.5662603;6.2530767;
75°33'55.563W,6°15'15.914N;-75.5654342;6.2544206;
75°33'53.439W,6°15'18.218N;-75.5648442;6.2550606;
75°33'50.233W,6°15'16.490N;-75.5639536;6.2545806;
75°33'48.070W,6°15'15.492N;-75.5633528;6.2543033;
75°33'46.443W,6°15'14.345N;-75.5629008;6.2539847;
75°33'44.401W,6°15'12.036N;-75.5623336;6.2533433;
75°33'45.714W,6°15'9.733N;-75.5626983;6.2527036;
75°33'54.250W,6°15'8.350N;-75.5650694;6.2523194;
75°33'51.739W,6°15'6.661N;-75.5643719;6.2518503;
75°33'48.649W,6°15'4.818N;-75.5635136;6.2513383;
75°33'39.766W,6°15'9.003N;-75.5610461;6.2525008;
75°33'41.233W,6°15'6.776N;-75.5614536;6.2518822;
75°33'42.875W,6°15'1.492N;-75.5619097;6.2504144;
75°33'44.594W,6°15'2.015N;-75.5623872;6.2505597;
75°34'20.379W,6°15'28.659N;-75.5723275;6.2579608;
75°34'19.877W,6°15'24.896N;-75.5721881;6.2569156;
75°34'25.332W,6°15'20.666N;-75.5737033;6.2557406;
75°34'30.656W,6°15'12.757N;-75.5751822;6.2535436;
75°34'28.075W,6°15'10.991N;-75.5744653;6.2530531;
75°34'22.667W,6°15'7.152N;-75.5729631;6.2519867;
75°34'21.547W,6°15'1.508N;-75.5726519;6.2504189;
75°34'18.651W,6°15'0.279N;-75.5718475;6.2500775;
75°34'15.059W,6°14'58.820N;-75.5708497;6.2496722;
75°34'19.307W,6°15'5.309N;-75.5720297;6.2514747;
75°34'18.033W,6°15'7.497N;-75.5716758;6.2520825;
75°34'16.565W,6°15'10.454N;-75.5712681;6.2529039;
75°34'16.719W,6°15'4.080N;-75.5713108;6.2511333;
75°34'15.522W,6°15'6.345N;-75.5709783;6.2517625;
75°34'14.402W,6°15'9.110N;-75.5706672;6.2525306;
75°34'9.535W,6°15'10.569N;-75.5693153;6.2529358;
75°34'10.308W,6°15'8.918N;-75.56953;6.2524772;
75°34'11.196W,6°15'7.344N;-75.5697767;6.25204;
75°34'11.196W,6°15'7.344N;-75.5697767;6.25204;
75°34'12.278W,6°15'4.694N;-75.5700772;6.2513039;
75°34'13.436W,6°15'2.391N;-75.5703989;6.2506642;
75°34'30.624W,6°15'10.127N;-75.5751733;6.2528131;
75°34'30.469W,6°15'0.567N;-75.5751303;6.2501575;
75°34'39.353W,6°14'49.510N;-75.5775981;6.2470861;
75°34'31.512W,6°14'49.049N;-75.57542;6.2469581;
75°34'22.984W,6°14'58.182N;-75.5730511;6.249495;
75°34'24.491W,6°14'55.264N;-75.5734697;6.2486844;
75°34'20.049W,6°14'57.337N;-75.5722358;6.2492603;
75°34'21.208W,6°14'54.266N;-75.5725578;6.2484072;
75°34'17.538W,6°14'52.845N;-75.5715383;6.2480125;
75°34'28.701W,6°14'46.740N;-75.5746392;6.2463167;
75°34'23.486W,6°14'48.967N;-75.5731906;6.2469353;
75°34'21.439W,6°14'43.247N;-75.5726219;6.2453464;
75°34'14.101W,6°14'51.463N;-75.5705836;6.2476286;
75°34'11.127W,6°14'50.542N;-75.5697575;6.2473728;
75°34'13.251W,6°14'44.974N;-75.5703475;6.2458261;
75°34'14.487W,6°14'40.905N;-75.5706908;6.2446958;
75°34'8.037W,6°14'49.275N;-75.5688992;6.2470208;
75°34'5.758W,6°14'48.276N;-75.5682661;6.2467433;
75°34'11.436W,6°14'39.753N;-75.5698433;6.2443758;
75°34'30.400W,6°14'45.090N;-75.5751111;6.2458583;
75°34'21.130W,6°14'32.189N;-75.5725361;6.2422747;
75°34'12.517W,6°14'37.257N;-75.5701436;6.2436825;
75°34'18.427W,6°14'30.960N;-75.5717853;6.2419333;
75°34'15.491W,6°14'30.027N;-75.5709697;6.2416742;
75°34'30.439W,6°14'23.742N;-75.5751219;6.2399283;
75°34'24.645W,6°14'21.592N;-75.5735125;6.2393311;
75°34'22.135W,6°14'20.862N;-75.5728153;6.2391283;
75°34'19.701W,6°14'20.286N;-75.5721392;6.2389683;
75°34'16.900W,6°14'19.432N;-75.5713611;6.2387311;
75°34'13.463W,6°14'18.203N;-75.5704064;6.2383897;
75°34'13.113W,6°14'29.223N;-75.5703092;6.2414508;
75°34'18.836W,6°14'27.917N;-75.5718989;6.2410881;
75°34'2.532W,6°14'43.774N;-75.56737;6.2454928;
75°33'58.979W,6°14'41.509N;-75.5663831;6.2448636;
75°33'57.936W,6°14'40.242N;-75.5660933;6.2445117;
75°34'12.948W,6°14'54.678N;-75.5702633;6.2485217;
75°34'9.916W,6°14'53.546N;-75.5694211;6.2482072;
75°34'6.787W,6°14'52.490N;-75.5685519;6.2479139;
75°34'12.059W,6°14'57.539N;-75.5700164;6.2493164;
75°34'8.718W,6°14'56.483N;-75.5690883;6.2490231;
75°34'5.744W,6°14'55.081N;-75.5682622;6.2486336;
75°34'2.461W,6°14'53.680N;-75.5673503;6.2482444;
75°34'1.071W,6°14'56.540N;-75.5669642;6.2490389;
75°34'4.663W,6°14'57.577N;-75.5679619;6.2493269;
75°34'7.656W,6°14'59.286N;-75.5687933;6.2498017;
75°34'10.649W,6°15'0.956N;-75.5696247;6.2502656;
75°33'59.178W,6°14'59.842N;-75.5664383;6.2499561;
75°34'9.375W,6°15'3.451N;-75.5692708;6.2509586;
75°34'2.094W,6°15'3.375N;-75.5672483;6.2509375;
75°33'55.779W,6°15'5.707N;-75.5654942;6.2515853;
75°34'0.105W,6°15'8.644N;-75.5666958;6.2524011;
75°34'6.884W,6°15'9.546N;-75.5685789;6.2526517;
75°33'55.760W,6°15'5.726N;-75.5654889;6.2515906;
75°33'53.288W,6°15'4.191N;-75.5648022;6.2511642;
75°33'50.391W,6°15'1.964N;-75.5639975;6.2505456;
75°33'47.070W,6°14'58.739N;-75.563075;6.2496497;
75°33'56.339W,6°14'58.239N;-75.5656497;6.2495108;
75°33'54.717W,6°14'54.132N;-75.5651992;6.24837;
75°33'57.035W,6°14'51.213N;-75.5658431;6.2475592;
75°33'55.606W,6°14'46.395N;-75.5654461;6.2462208;
75°33'49.078W,6°14'55.494N;-75.5636328;6.2487483;
75°33'53.520W,6°14'49.159N;-75.5648667;6.2469886;
75°33'51.840W,6°14'48.487N;-75.5644;6.2468019;
75°34'28.613W,6°13'46.775N;-75.5746147;6.2296597;
75°34'8.838W,6°13'30.111N;-75.5691217;6.2250308;
75°34'9.147W,6°13'24.352N;-75.5692075;6.2234311;
75°34'30.120W,6°13'32.031N;-75.5750333;6.2255642;
75°34'9.726W,6°13'12.219N;-75.5693683;6.2200608;
75°34'30.696W,6°13'24.122N;-75.5751933;6.2233672;
75°34'31.587W,6°13'16.673N;-75.5754408;6.2212981;
75°34'32.283W,6°13'7.227N;-75.5756342;6.2186742;
75°34'32.437W,6°13'5.154N;-75.5756769;6.2180983;
75°34'33.750W,6°12'54.096N;-75.5760417;6.2150267;
75°34'11.657W,6°12'53.021N;-75.5699047;6.2147281;
75°34'37.844W,6°12'49.718N;-75.5771789;6.2138106;
75°34'34.214W,6°12'50.102N;-75.5761706;6.2139172;
75°34'29.115W,6°12'45.188N;-75.5747542;6.2125522;
75°34'26.180W,6°12'46.570N;-75.5739389;6.2129361;
75°34'19.691W,6°12'44.343N;-75.5721364;6.2123175;
75°34'17.769W,6°12'43.805N;-75.5716025;6.2121681;
75°34'34.677W,6°12'46.263N;-75.5762992;6.2128508;
75°34'38.694W,6°12'47.491N;-75.577415;6.2131919;
75°34'19.073W,6°12'40.350N;-75.5719647;6.2112083;
75°34'15.983W,6°12'39.274N;-75.5711064;6.2109094;
75°34'13.666W,6°12'38.199N;-75.5704628;6.2106108;
75°34'14.902W,6°12'35.281N;-75.5708061;6.2098003;
75°34'35.681W,6°12'35.435N;-75.5765781;6.2098431;
75°34'36.763W,6°12'25.605N;-75.5768786;6.2071125;
75°34'17.683W,6°12'22.149N;-75.5715786;6.2061525;
75°34'16.679W,6°12'20.920N;-75.5712997;6.2058111;
75°34'37.149W,6°12'20.498N;-75.5769858;6.2056939;
75°34'28.111W,6°12'16.505N;-75.5744753;6.2045847;
75°34'24.326W,6°12'15.545N;-75.5734239;6.2043181;
75°34'18.301W,6°12'12.473N;-75.5717503;6.2034647;
75°34'19.653W,6°12'7.827N;-75.5721258;6.2021742;
75°34'21.198W,6°12'3.526N;-75.572555;6.2009794;
75°34'23.013W,6°12'0.800N;-75.5730592;6.2002222;
75°34'28.343W,6°12'7.251N;-75.5745397;6.2020142;
75°34'31.008W,6°12'5.369N;-75.57528;6.2014914;
75°34'42.943W,6°12'11.129N;-75.5785953;6.2030914;
75°34'38.038W,6°12'11.168N;-75.5772328;6.2031022;
75°34'37.960W,6°12'9.862N;-75.5772111;6.2027394;
75°34'38.540W,6°12'6.483N;-75.5773722;6.2018008;
75°34'23.940W,6°11'59.456N;-75.5733167;6.1998489;
75°34'33.557W,6°12'1.414N;-75.5759881;6.2003928;
75°34'34.988W,6°11'58.496N;-75.5763856;6.1995822;
75°34'27.648W,6°11'51.892N;-75.5743467;6.1977478;
75°34'31.780W,6°11'53.389N;-75.5754944;6.1981636;
75°34'29.618W,6°11'46.478N;-75.5748939;6.1962439;
75°34'35.411W,6°11'33.691N;-75.5765031;6.1926919;
75°34'49.586W,6°11'25.359N;-75.5804406;6.1903775;
75°34'37.806W,6°11'23.362N;-75.5771683;6.1898228;
75°34'53.448W,6°11'16.181N;-75.5815133;6.1878281;
75°34'40.432W,6°11'14.914N;-75.5778978;6.1874761;
75°34'18.494W,6°11'37.012N;-75.5718039;6.1936144;
75°34'2.465W,6°11'30.370N;-75.5673514;6.1917694;
75°34'11.928W,6°11'8.905N;-75.56998;6.1858069;
75°34'8.413W,6°10'52.124N;-75.5690036;6.1811456;
75°33'42.265W,6°11'13.282N;-75.5617403;6.1870228;
75°33'38.711W,6°11'13.397N;-75.5607531;6.1870547;
75°33'48.792W,6°11'23.803N;-75.5635533;6.1899453;
75°33'34.810W,6°11'32.174N;-75.5596694;6.1922706;
75°33'57.907W,6°11'45.917N;-75.5660853;6.1960881;
75°34'6.443W,6°11'48.989N;-75.5684564;6.1969414;
75°33'52.384W,6°12'1.468N;-75.5645511;6.2004078;
75°33'31.450W,6°11'42.615N;-75.5587361;6.1951708;
75°33'31.450W,6°11'45.615N;-75.5587361;6.1960042;
75°33'25.193W,6°11'51.677N;-75.5569981;6.1976881;
75°33'40.102W,6°12'17.941N;-75.5611394;6.2049836;
75°33'33.150W,6°12'32.033N;-75.5592083;6.2088981;
75°33'35.699W,6°12'48.678N;-75.5599164;6.2135217;
75°33'37.244W,6°12'50.924N;-75.5603456;6.2141456;
75°33'50.376W,6°12'44.905N;-75.5639933;6.2124736;
75°33'52.114W,6°12'42.755N;-75.5644761;6.2118764;
75°33'49.526W,6°12'31.159N;-75.5637572;6.2086553;
75°33'52.944W,6°12'33.405N;-75.5647067;6.2092792;
75°33'54.702W,6°12'34.097N;-75.565195;6.2094714;
75°33'54.373W,6°12'30.545N;-75.5651036;6.2084847;
75°33'56.150W,6°12'31.217N;-75.5655972;6.2086714;
75°33'56.556W,6°12'34.769N;-75.56571;6.2096581;
75°33'57.985W,6°12'31.927N;-75.5661069;6.2088686;
75°34'5.014W,6°12'35.076N;-75.5680594;6.2097433;
75°34'7.641W,6°12'35.959N;-75.5687892;6.2099886;
75°34'13.594W,6°12'38.041N;-75.5704428;6.2105669;
75°34'14.907W,6°12'35.180N;-75.5708075;6.2097722;
75°33'56.168W,6°12'7.528N;-75.5656022;6.2020911;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
