;Longitude;Latitude;
75°34'15.965W,6°12'39.097N;-75.5711014;6.2108603;
75°34'13.648W,6°12'37.964N;-75.5704578;6.2105456;
75°34'14.884W,6°12'35.180N;-75.5708011;6.2097722;
75°34'42.963W,6°12'11.182N;-75.5786008;6.2031061;
75°34'38.077W,6°12'12.334N;-75.5772436;6.2034261;
75°34'38.039W,6°12'11.105N;-75.5772331;6.2030847;
75°34'37.865W,6°12'9.742N;-75.5771847;6.2027061;
75°34'38.483W,6°12'6.401N;-75.5773564;6.2017781;
75°34'49.529W,6°11'25.296N;-75.5804247;6.19036;
75°34'53.392W,6°11'16.388N;-75.5814978;6.1878856;
75°34'11.868W,6°11'8.895N;-75.5699633;6.1858042;
75°34'40.461W,6°11'14.838N;-75.5779058;6.187455;
75°34'37.835W,6°11'23.398N;-75.5771764;6.1898328;
75°34'8.326W,6°10'52.026N;-75.5689794;6.1811183;
75°34'11.879W,6°11'8.999N;-75.5699664;6.1858331;
75°34'35.440W,6°11'33.668N;-75.5765111;6.1926856;
75°33'48.763W,6°11'23.857N;-75.5635453;6.1899603;
75°34'2.455W,6°11'30.385N;-75.5673486;6.1917736;
75°34'18.503W,6°11'36.951N;-75.5718064;6.1935975;
75°34'29.685W,6°11'46.570N;-75.5749125;6.1962694;
75°34'27.676W,6°11'51.945N;-75.5743544;6.1977625;
75°34'31.886W,6°11'53.404N;-75.5755239;6.1981678;
75°34'34.860W,6°11'58.588N;-75.57635;6.1996078;
75°34'33.586W,6°12'1.468N;-75.5759961;6.2004078;
75°34'30.998W,6°12'5.346N;-75.5752772;6.201485;
75°34'28.294W,6°12'7.266N;-75.5745261;6.2020183;
75°34'23.891W,6°11'59.395N;-75.5733031;6.1998319;
75°34'23.041W,6°12'0.623N;-75.5730669;6.2001731;
75°34'21.187W,6°12'3.503N;-75.5725519;6.2009731;
75°34'19.681W,6°12'7.842N;-75.5721336;6.2021783;
75°34'28.159W,6°12'16.462N;-75.5744886;6.2045728;
75°34'24.354W,6°12'15.464N;-75.5734317;6.2042956;
75°34'18.290W,6°12'12.450N;-75.5717472;6.2034583;
75°34'13.907W,6°12'10.895N;-75.5705297;6.2030264;
75°33'56.159W,6°12'7.496N;-75.5655997;6.2020822;
75°33'58.148W,6°12'1.468N;-75.5661522;6.2004078;
75°34'28.526W,6°15'55.185N;-75.5745906;6.2653292;
75°34'27.714W,6°15'57.451N;-75.574365;6.2659586;
75°34'29.877W,6°15'56.395N;-75.5749658;6.2656653;
75°34'30.399W,6°15'58.526N;-75.5751108;6.2662572;
75°34'31.770W,6°15'56.318N;-75.5754917;6.2656439;
75°34'35.246W,6°15'59.793N;-75.5764572;6.2666092;
75°32'32.987W,6°16'13.921N;-75.5424964;6.2705336;
75°34'39.765W,6°16'14.804N;-75.5777125;6.2707789;
75°34'47.818W,6°16'24.786N;-75.5799494;6.2735517;
75°34'30.940W,6°16'38.204N;-75.5752611;6.2772789;
75°34'32.523W,6°16'29.029N;-75.5757008;6.2747303;
75°34'25.747W,6°16'31.447N;-75.5738186;6.2754019;
75°34'20.743W,6°16'32.772N;-75.5724286;6.27577;
75°34'24.509W,6°16'35.075N;-75.5734747;6.2764097;
